CSVFORMA:TNAME,PointCoordinates
ATTRIBUTES,Id,X,Y
DATATYPE,Table
SPATIALREF,4326,4326
LayerRange,116.097,39.6895,118.074,39.8366
1,116.15,39.7963
2,116.15,39.7963
3,116.15,39.7963
4,116.15,39.7962
5,116.15,39.7962
6,116.15,39.7962
7,116.15,39.7961
8,116.15,39.7961
9,116.15,39.7961
10,116.15,39.7961
11,116.15,39.7961
12,116.15,39.7961
13,116.15,39.7961
14,116.15,39.7961
15,116.15,39.7961
16,116.15,39.7961
17,116.15,39.7961
18,116.15,39.7961
19,116.15,39.7961
20,116.15,39.7961
21,116.15,39.7961
22,116.15,39.7961
23,116.15,39.7961
24,116.15,39.7961
25,116.15,39.7961
26,116.15,39.7961
27,116.15,39.7961
28,116.15,39.7961
29,116.15,39.7961
30,116.15,39.7961
31,116.15,39.7961
32,116.15,39.7961
33,116.15,39.7961
34,116.15,39.7961
35,116.15,39.7961
36,116.15,39.796
37,116.15,39.796
38,116.15,39.796
39,116.15,39.7959
40,116.15,39.7959
41,116.15,39.7959
42,116.15,39.7958
43,116.15,39.7958
44,116.15,39.7957
45,116.15,39.7957
46,116.15,39.7956
47,116.15,39.7955
48,116.15,39.7955
49,116.15,39.7954
50,116.15,39.7954
51,116.15,39.7953
52,116.15,39.7952
53,116.15,39.7951
54,116.15,39.7951
55,116.15,39.795
56,116.15,39.7949
57,116.15,39.7948
58,116.15,39.7947
59,116.15,39.7947
60,116.15,39.7946
61,116.15,39.7945
62,116.15,39.7944
63,116.15,39.7943
64,116.15,39.7942
65,116.15,39.7941
66,116.15,39.7941
67,116.15,39.794
68,116.15,39.7939
69,116.15,39.7938
70,116.15,39.7937
71,116.15,39.7936
72,116.15,39.7935
73,116.15,39.7934
74,116.15,39.7933
75,116.15,39.7932
76,116.15,39.7931
77,116.15,39.793
78,116.15,39.793
79,116.15,39.7929
80,116.15,39.7928
81,116.15,39.7927
82,116.15,39.7926
83,116.15,39.7925
84,116.15,39.7924
85,116.15,39.7923
86,116.15,39.7923
87,116.15,39.7922
88,116.15,39.7921
89,116.15,39.792
90,116.15,39.7919
91,116.15,39.7918
92,116.15,39.7917
93,116.15,39.7916
94,116.15,39.7915
95,116.15,39.7914
96,116.15,39.7913
97,116.15,39.7912
98,116.15,39.7911
99,116.15,39.7911
100,116.15,39.791
101,116.15,39.7909
102,116.15,39.7908
103,116.15,39.7907
104,116.15,39.7906
105,116.15,39.7905
106,116.15,39.7904
107,116.15,39.7903
108,116.15,39.7902
109,116.15,39.7901
110,116.15,39.79
111,116.15,39.7899
112,116.15,39.7898
113,116.15,39.7897
114,116.15,39.7896
115,116.15,39.7895
116,116.15,39.7894
117,116.15,39.7893
118,116.15,39.7892
119,116.15,39.7891
120,116.15,39.789
121,116.15,39.7889
122,116.15,39.7888
123,116.15,39.7887
124,116.15,39.7886
125,116.15,39.7885
126,116.15,39.7883
127,116.15,39.7882
128,116.15,39.7881
129,116.15,39.788
130,116.15,39.7879
131,116.15,39.7878
132,116.15,39.7877
133,116.15,39.7876
134,116.15,39.7875
135,116.15,39.7874
136,116.15,39.7873
137,116.15,39.7872
138,116.15,39.7871
139,116.15,39.787
140,116.15,39.7869
141,116.15,39.7868
142,116.15,39.7867
143,116.15,39.7865
144,116.15,39.7864
145,116.15,39.7863
146,116.15,39.7862
147,116.15,39.7861
148,116.15,39.786
149,116.15,39.7859
150,116.15,39.7858
151,116.15,39.7857
152,116.15,39.7856
153,116.15,39.7855
154,116.15,39.7853
155,116.15,39.7852
156,116.15,39.7851
157,116.15,39.785
158,116.15,39.7849
159,116.15,39.7848
160,116.15,39.7847
161,116.15,39.7846
162,116.15,39.7845
163,116.15,39.7844
164,116.15,39.7843
165,116.15,39.7842
166,116.15,39.7841
167,116.15,39.784
168,116.15,39.7839
169,116.15,39.7837
170,116.15,39.7836
171,116.15,39.7835
172,116.15,39.7834
173,116.15,39.7833
174,116.15,39.7832
175,116.15,39.7831
176,116.15,39.783
177,116.15,39.7829
178,116.15,39.7828
179,116.15,39.7827
180,116.15,39.7826
181,116.15,39.7825
182,116.15,39.7823
183,116.15,39.7822
184,116.15,39.7821
185,116.15,39.782
186,116.15,39.7819
187,116.15,39.7818
188,116.15,39.7817
189,116.15,39.7816
190,116.15,39.7815
191,116.15,39.7813
192,116.15,39.7812
193,116.15,39.7811
194,116.15,39.781
195,116.15,39.7809
196,116.15,39.7808
197,116.15,39.7807
198,116.15,39.7806
199,116.15,39.7805
200,116.15,39.7804
201,116.15,39.7803
202,116.15,39.7802
203,116.15,39.7801
204,116.151,39.78
205,116.151,39.7799
206,116.151,39.7798
207,116.151,39.7797
208,116.151,39.7796
209,116.151,39.7795
210,116.151,39.7794
211,116.151,39.7793
212,116.151,39.7792
213,116.151,39.7791
214,116.151,39.779
215,116.151,39.7789
216,116.151,39.7788
217,116.151,39.7787
218,116.151,39.7786
219,116.151,39.7785
220,116.151,39.7784
221,116.151,39.7783
222,116.151,39.7782
223,116.151,39.7781
224,116.151,39.778
225,116.151,39.7779
226,116.151,39.7778
227,116.151,39.7777
228,116.151,39.7776
229,116.151,39.7775
230,116.151,39.7774
231,116.151,39.7773
232,116.151,39.7772
233,116.151,39.7771
234,116.151,39.777
235,116.151,39.7769
236,116.151,39.7768
237,116.151,39.7767
238,116.151,39.7766
239,116.151,39.7765
240,116.151,39.7765
241,116.151,39.7764
242,116.151,39.7763
243,116.151,39.7762
244,116.151,39.7761
245,116.151,39.776
246,116.151,39.7759
247,116.151,39.7758
248,116.151,39.7757
249,116.151,39.7756
250,116.151,39.7755
251,116.151,39.7754
252,116.151,39.7753
253,116.151,39.7752
254,116.151,39.7751
255,116.151,39.775
256,116.151,39.7749
257,116.151,39.7748
258,116.151,39.7747
259,116.151,39.7746
260,116.151,39.7745
261,116.151,39.7745
262,116.151,39.7744
263,116.151,39.7743
264,116.151,39.7742
265,116.151,39.7741
266,116.151,39.774
267,116.151,39.7739
268,116.151,39.7738
269,116.151,39.7738
270,116.151,39.7737
271,116.151,39.7736
272,116.151,39.7736
273,116.151,39.7735
274,116.151,39.7735
275,116.151,39.7734
276,116.151,39.7734
277,116.151,39.7734
278,116.151,39.7734
279,116.151,39.7733
280,116.151,39.7733
281,116.152,39.7733
282,116.152,39.7733
283,116.152,39.7733
284,116.152,39.7733
285,116.152,39.7733
286,116.152,39.7733
287,116.152,39.7733
288,116.152,39.7732
289,116.152,39.7732
290,116.152,39.7732
291,116.152,39.7732
292,116.152,39.7732
293,116.152,39.7732
294,116.152,39.7732
295,116.152,39.7732
296,116.152,39.7732
297,116.152,39.7732
298,116.152,39.7732
299,116.152,39.7732
300,116.152,39.7732
301,116.152,39.7732
302,116.152,39.7732
303,116.152,39.7732
304,116.152,39.7732
305,116.152,39.7732
306,116.152,39.7732
307,116.152,39.7732
308,116.152,39.7732
309,116.152,39.7732
310,116.152,39.7732
311,116.152,39.7732
312,116.152,39.7732
313,116.152,39.7732
314,116.152,39.7732
315,116.152,39.7732
316,116.152,39.7732
317,116.152,39.7732
318,116.153,39.7732
319,116.153,39.7732
320,116.153,39.7732
321,116.153,39.7732
322,116.153,39.7732
323,116.153,39.7732
324,116.153,39.7732
325,116.153,39.7732
326,116.153,39.7732
327,116.153,39.7732
328,116.153,39.7732
329,116.153,39.7732
330,116.153,39.7732
331,116.153,39.7732
332,116.153,39.7732
333,116.153,39.7732
334,116.153,39.7732
335,116.153,39.7732
336,116.153,39.7732
